Team,Position,Jersey Number,First Name,Last Name,Full Name,Player Link
Men,Goalkeepers,1,Altay,Bayindir,Altay Bayindir,https://www.manutd.com/en/players-and-staff/detail/altay-bayindir
Men,Goalkeepers,22,Tom,Heaton,Tom Heaton,https://www.manutd.com/en/players-and-staff/detail/tom-heaton
Men,Goalkeepers,24,Andre,Onana,Andre Onana,https://www.manutd.com/en/players-and-staff/detail/andre-onana
Men,Defenders,2,Victor,Lindelof,Victor Lindelof,https://www.manutd.com/en/players-and-staff/detail/victor-lindelof
Men,Defenders,5,Harry,Maguire,Harry Maguire,https://www.manutd.com/en/players-and-staff/detail/harry-maguire
Men,Defenders,6,Lisandro,Martinez,Lisandro Martinez,https://www.manutd.com/en/players-and-staff/detail/lisandro-martinez
Men,Defenders,12,Tyrell,Malacia,Tyrell Malacia,https://www.manutd.com/en/players-and-staff/detail/tyrell-malacia
Men,Defenders,19,Raphael,Varane,Raphael Varane,https://www.manutd.com/en/players-and-staff/detail/raphael-varane
Men,Defenders,20,Diogo,Dalot,Diogo Dalot,https://www.manutd.com/en/players-and-staff/detail/diogo-dalot
Men,Defenders,23,Luke,Shaw,Luke Shaw,https://www.manutd.com/en/players-and-staff/detail/luke-shaw
Men,Defenders,29,Aaron,Wan-Bissaka,Aaron Wan-Bissaka,https://www.manutd.com/en/players-and-staff/detail/aaron-wan-bissaka
Men,Defenders,33,Brandon,Williams,Brandon Williams,https://www.manutd.com/en/players-and-staff/detail/brandon-williams
Men,Defenders,35,Jonny,Evans,Jonny Evans,https://www.manutd.com/en/players-and-staff/detail/jonny-evans
Men,Defenders,53,Willy,Kambwala,Willy Kambwala,https://www.manutd.com/en/players-and-staff/detail/willy-kambwala-first-team-profile
Men,Midfielders,4,Sofyan,Amrabat,Sofyan Amrabat,https://www.manutd.com/en/players-and-staff/detail/sofyan-amrabat
Men,Midfielders,7,Mason,Mount,Mason Mount,https://www.manutd.com/en/players-and-staff/detail/mason-mount
